Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Mania-be,Terra Cogita,Yopuka,1117,197,102,200.0,65.89,56377
Tank-pchakh,Terra Cogita,Yopuka,1097,333,189,200.0,63.79,48583
Rivotrill,Grandapan,Yopuka,1080,147,17,200.0,89.63,48194
Rolex-l,Herdegrize,Xelor,1163,117,26,200.0,81.82,40982
Ghold,Terra Cogita,Sadida,1149,120,23,200.0,83.92,40703
Ibelak,Herdegrize,Sacrogrito,1119,149,62,200.0,70.62,38114
Rikaua,Dodge,Pandawa,1099,151,43,200.0,77.84,38002
Jack-Danll,Terra Cogita,Sacrogrito,1128,116,45,200.0,72.05,34513
Alanah,Oshimo,Sacrogrito,1120,125,42,200.0,74.85,33210
Andresfenix,Brutas,Osamodas,1129,86,43,200.0,66.67,31932
Amenaze,Brutas,Feca,1111,114,25,200.0,82.01,30019
Maryijuana,Oshimo,Sram,1164,84,13,200.0,86.6,28753
Acetona,Grandapan,Aniripsa,1083,150,15,200.0,90.91,28555
Testiabis,Herdegrize,Feca,1105,151,68,200.0,68.95,28080
Crisis-s,Oshimo,Steamer,1154,221,125,200.0,63.87,27970
Elporro-demil,Brutas,Zurcarak,1028,234,111,200.0,67.83,27890
Sephiroth-Il,Oshimo,Zobal,1082,166,80,200.0,67.48,27212
Omega-Terrel,Terra Cogita,Sacrogrito,1006,206,112,200.0,64.78,26770
Seigneur-Destem,Oshimo,Xelor,1144,102,32,200.0,76.12,26619
Hardixa,Terra Cogita,Aniripsa,1124,154,105,200.0,59.46,26373
Nunu-diste,Terra Cogita,Anutrof,1122,93,36,200.0,72.09,25551
Habraham,Oshimo,Anutrof,1088,120,43,200.0,73.62,25170
Blaanchee,Terra Cogita,Pandawa,1055,140,0,200.0,100.0,24624
Mamy-mae,Oshimo,Anutrof,1127,63,0,200.0,100.0,24152
Goutteuse,Terra Cogita,Anutrof,1061,181,104,200.0,63.51,24041
Stormy-black,Dodge,Xelor,1138,133,73,200.0,64.56,23806
Kalzer-ll,Herdegrize,Anutrof,1098,80,32,200.0,71.43,23595
Boborne,Herdegrize,Aniripsa,1155,85,24,200.0,77.98,23397
El-cura,Brutas,Aniripsa,1131,98,35,200.0,73.68,23098
Romain-Shaad,Terra Cogita,Aniripsa,1127,131,42,200.0,75.72,22263
Munsterlove,Herdegrize,Osamodas,1082,133,47,200.0,73.89,21815
Kyloa,Oshimo,Pandawa,1115,101,34,200.0,74.81,21515
Moltoza,Terra Cogita,Yopuka,1137,66,23,200.0,74.16,21468
Dj-Upper,Terra Cogita,Tymador,1091,106,57,200.0,65.03,21201
Bye-bye,Dodge,Sram,1074,95,33,200.0,74.22,21097
Megan,Grandapan,Ocra,1175,55,55,200.0,50.0,20681
Miistigriis,Herdegrize,Sacrogrito,1127,76,25,200.0,75.25,20625
Limitless,Dodge,Sacrogrito,1142,75,6,200.0,92.59,20052
Zepek-ll,Herdegrize,Sacrogrito,1129,69,24,200.0,74.19,19902
Mr-flip,Terra Cogita,Pandawa,1075,95,60,200.0,61.29,19562
Coronard,Oshimo,Sram,1068,102,22,200.0,82.26,19288
Tekashee,Oshimo,Feca,1123,69,15,200.0,82.14,19245
Theoreme-Desant,Herdegrize,Anutrof,1104,70,14,200.0,83.33,18895
Maxatator,Herdegrize,Tymador,1063,87,33,200.0,72.5,18846
Khalessie,Terra Cogita,Anutrof,1117,82,42,200.0,66.13,18641
Malucka-elmatad,Herdegrize,Tymador,1103,53,18,200.0,74.65,18618
Ectora,Terra Cogita,Zurcarak,1072,89,57,200.0,60.96,18363
Scarran-kul,Herdegrize,Yopuka,1067,104,35,200.0,74.82,18272
Ambazzador-x,Grandapan,Ocra,1120,56,41,200.0,57.73,18036
Azias,Herdegrize,Anutrof,1076,93,40,200.0,69.92,17990
Sric,Brutas,Sacrogrito,1102,71,12,200.0,85.54,17906
Rayyiom,Oshimo,Yopuka,1065,89,29,200.0,75.42,17807
Cr-ack,Terra Cogita,Pandawa,1070,118,63,200.0,65.19,17747
Lbabtoo,Herdegrize,Yopuka,1064,73,26,200.0,73.74,17724
Taazx,Herdegrize,Aniripsa,1142,89,36,200.0,71.2,17588
Black-Kura,Herdegrize,Zurcarak,1137,33,0,200.0,100.0,17532
Weed-Yt,Oshimo,Ocra,1059,130,84,200.0,60.75,17372
Pepitrock,Terra Cogita,Anutrof,1115,57,11,200.0,83.82,17275
Balekh,Herdegrize,Sadida,1056,195,73,200.0,72.76,17247
Vreyz,Grandapan,Pandawa,1167,35,1,200.0,97.22,17060
Insurgent,Terra Cogita,Yopuka,1099,80,41,200.0,66.12,16869
Kalpurnia,Terra Cogita,Sacrogrito,1145,43,7,200.0,86.0,16752
Zonela,Oshimo,Xelor,1127,79,29,200.0,73.15,16627
Roubignoule,Terra Cogita,Tymador,1100,82,65,200.0,55.78,16405
Takani-ketam,Herdegrize,Sram,1011,210,119,200.0,63.83,16383
Mizz-Rezos,Terra Cogita,Aniripsa,1139,67,19,200.0,77.91,16107
Hayiko,Herdegrize,Tymador,1079,57,16,200.0,78.08,15901
Limit-xv,Brutas,Steamer,876,205,62,200.0,76.78,15850
Akharo,Herdegrize,Yopuka,1167,32,9,200.0,78.05,15780
Celener,Herdegrize,Sacrogrito,1162,44,10,200.0,81.48,15747
Lillonganissa,Brutas,Yopuka,1030,168,83,200.0,66.93,15641
Bombec,Terra Cogita,Tymador,1087,65,21,200.0,75.58,15522
Yellowzs,Terra Cogita,Sadida,1111,93,38,200.0,70.99,15474
Pytagore,Herdegrize,Sadida,1092,94,19,200.0,83.19,15367
Ben-zona,Herdegrize,Yopuka,1092,83,53,200.0,61.03,15363
Cris-rolexx,Brutas,Xelor,1083,191,101,200.0,65.41,15346
Masterzs,Grandapan,Xelor,946,166,20,200.0,89.25,15224
Pepiripsa,Terra Cogita,Aniripsa,1138,92,37,200.0,71.32,15224
Feydel,Grandapan,Yopuka,1168,55,55,200.0,50.0,15106
Egoiste,Oshimo,Tymador,1032,150,114,200.0,56.82,14966
Couscous-zebi,Herdegrize,Xelor,1112,141,91,200.0,60.78,14927
Jowo,Brutas,Sacrogrito,1115,56,27,200.0,67.47,14883
Khtak,Herdegrize,Sadida,1125,79,29,200.0,73.15,14857
Roubbizarre,Terra Cogita,Tymador,984,192,122,200.0,61.15,14851
Grosoursondechi,Terra Cogita,Sram,1043,121,71,200.0,63.02,14827
Cya-Nose,Herdegrize,Sacrogrito,1037,154,54,200.0,74.04,14775
Blankise,Oshimo,Sacrogrito,1062,78,29,200.0,72.9,14729
To-y,Herdegrize,Xelor,1040,233,132,200.0,63.84,14714
La-Muralla,Brutas,Sacrogrito,1024,144,78,200.0,64.86,14697
Kakaze,Dodge,Tymador,1063,69,16,200.0,81.18,14505
Rozak,Grandapan,Zurcarak,1148,56,57,200.0,49.56,14487
Cuchiie,Brutas,Ocra,1006,112,76,200.0,59.57,14476
Sa-aw,Oshimo,Sram,1128,43,14,200.0,75.44,14467
Vaianah,Oshimo,Sadida,1055,149,61,200.0,70.95,14379
Dji-dan,Herdegrize,Osamodas,1054,162,105,200.0,60.67,14365
Beurck,Herdegrize,Tymador,1050,90,44,200.0,67.16,14264
Powii,Oshimo,Zobal,1124,62,28,200.0,68.89,14251
Arusay,Terra Cogita,Pandawa,1124,54,20,200.0,72.97,14233
Sake-Juice,Terra Cogita,Pandawa,1095,155,103,200.0,60.08,14206
Blanshee,Oshimo,Xelor,1064,100,41,200.0,70.92,14147
Hendeke,Terra Cogita,Anutrof,1056,134,94,200.0,58.77,14081
Windooz,Herdegrize,Aniripsa,1156,54,23,200.0,70.13,14076
Sound-bas,Brutas,Xelor,1043,108,59,200.0,64.67,14033
Tekashee-Il,Oshimo,Sram,1050,77,15,200.0,83.7,14016
As-fixiade,Herdegrize,Sacrogrito,1148,45,15,200.0,75.0,14015
Saya-Djiin,Herdegrize,Ocra,980,67,45,200.0,59.82,13954
Kyko-Kush,Oshimo,Aniripsa,1057,158,103,200.0,60.54,13944
Khorhumain,Terra Cogita,Sacrogrito,1046,127,46,200.0,73.41,13907
Angel-Batista,Oshimo,Yopuka,1124,53,31,200.0,63.1,13854
Diane-Taigan,Brutas,Yopuka,1114,66,33,200.0,66.67,13779
Whynot,Dodge,Anutrof,1080,64,5,200.0,92.75,13772
Shufaye-Babe,Dodge,Yopuka,1165,69,84,200.0,45.1,13761
Miss-Aguapanela,Brutas,Aniripsa,949,217,106,200.0,67.18,13750
Cogeme,Brutas,Sram,1104,44,6,200.0,88.0,13712
Adik-feha,Dodge,Aniripsa,1026,158,50,200.0,75.96,13688
Monster-Yopuk,Dodge,Yopuka,1110,43,10,200.0,81.13,13635
Good-Gamestheri,Brutas,Anutrof,1069,123,84,200.0,59.42,13588
Zejix,Dodge,Aniripsa,1103,73,21,200.0,77.66,13577
Pain-olait,Oshimo,Sacrogrito,1068,91,37,200.0,71.09,13429
Sileam,Terra Cogita,Zurcarak,986,170,84,200.0,66.93,13419
Rasta-fouff,Herdegrize,Feca,1096,125,95,200.0,56.82,13375
Sr-Duck,Brutas,Osamodas,1154,46,24,200.0,65.71,13262
Crisis-Il,Oshimo,Zobal,1066,115,73,200.0,61.17,13237
Eguzkita,Brutas,Xelor,1143,52,32,200.0,61.9,13137
Mesokk,Brutas,Xelor,1004,176,62,200.0,73.95,13109
Maldazar,Dodge,Feca,1077,93,41,200.0,69.4,12968
Boomta,Brutas,Aniripsa,970,176,62,200.0,73.95,12950
Sang-suel,Herdegrize,Sacrogrito,1043,162,81,200.0,66.67,12942
Twoclock,Oshimo,Xelor,1046,115,31,200.0,78.77,12835
Reven,Grandapan,Steamer,1166,53,56,200.0,48.62,12805
Joueuse-Pro,Herdegrize,Ocra,992,149,119,200.0,55.6,12799
Kush-Hard,Oshimo,Yopuka,962,213,128,200.0,62.46,12768
Neeklabak,Herdegrize,Aniripsa,1094,95,27,200.0,77.87,12724
Moolat-lmsaman,Terra Cogita,Sram,1074,57,10,200.0,85.07,12666
Machucaenano,Brutas,Aniripsa,1103,77,14,200.0,84.62,12658
Big-Fish,Oshimo,Osamodas,1102,50,4,200.0,92.59,12617
Bouschet,Brutas,Feca,1115,65,22,200.0,74.71,12595
Drayki-Tresor,Dodge,Anutrof,1031,106,36,200.0,74.65,12555
Chaguime,Terra Cogita,Xelor,1037,228,160,200.0,58.76,12526
Luisyopuka,Grandapan,Yopuka,1145,55,55,200.0,50.0,12405
Jott,Terra Cogita,Sacrogrito,1066,98,54,200.0,64.47,12287
Mani-Fik,Herdegrize,Yopuka,1111,48,16,200.0,75.0,12276
Erzal,Dodge,Sram,1097,70,54,200.0,56.45,12248
Keylie-Jenner,Herdegrize,Sacrogrito,1078,64,21,200.0,75.29,12231
Cepheus,Terra Cogita,Osamodas,1102,49,34,200.0,59.04,12071
Viens-dansmonli,Terra Cogita,Sram,1019,183,152,200.0,54.63,11974
Wrath-juice,Terra Cogita,Yopuka,1016,94,64,200.0,59.49,11952
Ahkay,Herdegrize,Pandawa,919,288,226,199.0,56.03,11915
Tuloud,Dodge,Sacrogrito,1079,71,23,200.0,75.53,11851
El-pawa,Brutas,Pandawa,1042,91,39,200.0,70.0,11812
Jesappelle-Lanc,Herdegrize,Sadida,1088,58,0,200.0,100.0,11749
Lyaren,Grandapan,Pandawa,1161,55,55,200.0,50.0,11732
Campiion,Oshimo,Sacrogrito,1043,102,23,200.0,81.6,11730
Bru-ce,Oshimo,Aniripsa,1112,67,22,200.0,75.28,11726
Neebs,Dodge,Feca,1092,105,69,200.0,60.34,11694
Miirages,Oshimo,Sacrogrito,1036,266,266,200.0,50.0,11669
Jack-mesrines,Terra Cogita,Sram,998,164,86,200.0,65.6,11655
Synkc,Brutas,Xelor,959,169,71,200.0,70.42,11575
Vady,Terra Cogita,Aniripsa,1084,70,0,200.0,100.0,11529
Jarr-Jarr,Oshimo,Feca,1098,56,16,200.0,77.78,11524
Sacawa,Brutas,Sacrogrito,1030,102,37,200.0,73.38,11420
Cascariita,Brutas,Aniripsa,1101,83,33,200.0,71.55,11357
Dreug,Oshimo,Aniripsa,1126,73,34,200.0,68.22,11346
Braziliann-sold,Brutas,Zobal,1070,90,43,200.0,67.67,11337
Gorilla,Brutas,Ocra,1070,38,17,200.0,69.09,11334
Piratery,Oshimo,Sram,1095,95,65,200.0,59.38,11328
Divinity-Az,Herdegrize,Zurcarak,1056,63,39,200.0,61.76,11306
Dread-Shells,Terra Cogita,Tymador,1133,30,16,200.0,65.22,11298
No-Opty,Herdegrize,Feca,1043,121,68,200.0,64.02,11253
Dyablox,Brutas,Zurcarak,990,95,19,200.0,83.33,11234
Haraka-kiko,Brutas,Tymador,1036,67,18,200.0,78.82,11227
Claire-Sp,Grandapan,Sram,904,149,49,200.0,75.25,11225
Yostek,Grandapan,Osamodas,1152,54,56,200.0,49.09,11056
Paylinh,Oshimo,Sacrogrito,1117,49,13,200.0,79.03,11006
Magdalena,Oshimo,Ocra,1004,58,0,200.0,100.0,10991
Haruichi,Oshimo,Sacrogrito,1046,140,73,200.0,65.73,10970
Sukoy,Brutas,Sacrogrito,1012,143,58,200.0,71.14,10968
Adama-Traore,Oshimo,Yopuka,1084,59,33,200.0,64.13,10932
Drala,Brutas,Steamer,1066,93,72,200.0,56.36,10904
Wa-Tis,Oshimo,Xelor,1058,98,43,200.0,69.5,10795
Ossi-master,Brutas,Osamodas,923,195,119,200.0,62.1,10794
Gladiatoorr,Herdegrize,Sacrogrito,1146,34,15,200.0,69.39,10774
No-menthe,Oshimo,Anutrof,1068,68,41,200.0,62.39,10756
Unbelievable,Dodge,Feca,1086,57,16,200.0,78.08,10707
Davoodka,Terra Cogita,Sacrogrito,1035,91,71,200.0,56.17,10615
Khorhumaine,Terra Cogita,Xelor,1073,74,17,200.0,81.32,10581
Jaja-temate,Brutas,Sacrogrito,949,182,103,200.0,63.86,10525
Fuvuki,Brutas,Xelor,922,231,169,200.0,57.75,10425
Sqiizz,Grandapan,Sram,1130,56,56,200.0,50.0,10391
Cleansoft,Terra Cogita,Anutrof,1035,87,26,200.0,76.99,10342
Ploy-juice,Terra Cogita,Tymador,1034,99,42,200.0,70.21,10245
Ratts,Brutas,Ocra,1061,62,40,200.0,60.78,10235
Xel-folleco,Brutas,Xelor,922,172,93,200.0,64.91,10230
Susano-Il,Herdegrize,Zobal,972,62,38,200.0,62.0,10214
Skechers,Herdegrize,Anutrof,979,140,69,200.0,66.99,10178
Club-Colombia,Brutas,Osamodas,989,149,76,200.0,66.22,10177
Kay-ne,Brutas,Aniripsa,918,157,74,200.0,67.97,10150
Arlen,Grandapan,Anutrof,1136,56,56,200.0,50.0,10148
Citron,Terra Cogita,Pandawa,1165,23,4,200.0,85.19,10135
San-guinaire,Oshimo,Osamodas,1117,44,19,200.0,69.84,10120
Zanngo,Oshimo,Osamodas,1084,33,8,200.0,80.49,10090
Adorina-Il,Herdegrize,Aniripsa,1094,93,65,200.0,58.86,10056
Khaas,Brutas,Sram,1018,92,34,200.0,73.02,10052
Zeus-kings,Grandapan,Anutrof,922,137,50,200.0,73.26,9950
Juxow,Terra Cogita,Sadida,1071,58,0,200.0,100.0,9920
Bastov,Terra Cogita,Xelor,1087,64,25,200.0,71.91,9914
Khegga,Brutas,Pandawa,1052,90,49,200.0,64.75,9914
Slp-cossio,Brutas,Tymador,945,178,121,200.0,59.53,9907
Scapin-d,Herdegrize,Tymador,1015,103,72,200.0,58.86,9903
Ninja-Dos,Oshimo,Sram,1033,139,94,200.0,59.66,9854
Lapiraterie,Terra Cogita,Sram,1102,33,7,200.0,82.5,9848
Bicax,Oshimo,Sadida,1069,70,21,200.0,76.92,9844
Rastabarbe,Herdegrize,Osamodas,1048,117,91,200.0,56.25,9824
Mugiwawano,Oshimo,Pandawa,1101,65,31,200.0,67.71,9820
Kalimerox,Herdegrize,Yopuka,1037,96,51,200.0,65.31,9770
Jasmi,Dodge,Sadida,1080,62,34,200.0,64.58,9717
Darliing,Oshimo,Sram,1066,60,37,200.0,61.86,9699
Seigneurs,Oshimo,Sadida,1104,55,21,200.0,72.37,9692
Daiani,Brutas,Sacrogrito,905,176,106,200.0,62.41,9650
Voodith,Herdegrize,Sadida,1000,116,67,200.0,63.39,9595
Alborak,Oshimo,Yopuka,982,135,72,200.0,65.22,9578
Mar-Souin,Terra Cogita,Sram,918,170,99,200.0,63.2,9575
Tekmantah,Oshimo,Sacrogrito,1129,30,3,200.0,90.91,9572
Oncle-Robert,Herdegrize,Anutrof,1108,30,1,200.0,96.77,9506
Wavy-ll,Oshimo,Sacrogrito,968,161,90,200.0,64.14,9501
Azyk,Grandapan,Zobal,1149,54,56,200.0,49.09,9490
La-kalacheuse,Terra Cogita,Sram,974,149,77,200.0,65.93,9483
Blood-machine,Herdegrize,Sacrogrito,973,166,95,200.0,63.6,9476
Copoazu,Brutas,Pandawa,1060,59,14,200.0,80.82,9465
Chatoxique,Oshimo,Zurcarak,1061,44,16,200.0,73.33,9452
Killan-Marshal,Brutas,Ocra,953,185,136,200.0,57.63,9406
Suze-Cola,Oshimo,Pandawa,984,129,50,200.0,72.07,9395
Evien,Dodge,Aniripsa,1071,89,39,200.0,69.53,9384
Darkk-Bawemonam,Oshimo,Ocra,995,56,3,200.0,94.92,9370
Mmyaa,Brutas,Sram,1074,71,52,200.0,57.72,9317
Drax-ll,Brutas,Xelor,953,246,204,199.0,54.67,9300
Kapiston,Terra Cogita,Tymador,1011,71,15,200.0,82.56,9269
Hizoka,Grandapan,Zurcarak,1104,41,32,200.0,56.16,9238
Reprimande,Oshimo,Sram,1092,52,27,200.0,65.82,9236
Blackos-Pan,Oshimo,Aniripsa,1092,114,86,200.0,57.0,9232
Avockah,Herdegrize,Sacrogrito,1150,26,6,200.0,81.25,9171
Miyaagi,Dodge,Aniripsa,1091,107,71,200.0,60.11,9131
Mmorado,Brutas,Anutrof,1114,41,26,200.0,61.19,9128
Timoty,Grandapan,Tymador,1123,39,34,200.0,53.42,9120
Kimbo-Slyce,Dodge,Zobal,981,160,93,200.0,63.24,9095
Rambo-Ill,Oshimo,Anutrof,1064,80,55,200.0,59.26,9087
Kaiheilung,Brutas,Aniripsa,1133,47,38,200.0,55.29,9081
Lanzermax,Brutas,Ocra,966,145,112,200.0,56.42,9073
Pett-as,Oshimo,Tymador,1088,42,26,200.0,61.76,9044
One-punche,Herdegrize,Pandawa,1031,117,86,200.0,57.64,9036
Kevan-x,Oshimo,Sacrogrito,1107,50,21,200.0,70.42,9029
Ralozor,Oshimo,Xelor,1002,140,86,200.0,61.95,9012
Wizy-scred,Herdegrize,Sram,928,264,252,200.0,51.16,8957
Jaellya,Terra Cogita,Xelor,1144,29,7,200.0,80.56,8935
The-Starks,Brutas,Steamer,1062,55,43,200.0,56.12,8915
Yakitako,Terra Cogita,Feca,1099,49,36,200.0,57.65,8914
Mergas,Brutas,Feca,1030,97,31,200.0,75.78,8894
Guarinete,Brutas,Feca,977,168,106,200.0,61.31,8888
Miss-torres,Oshimo,Sacrogrito,1124,40,26,200.0,60.61,8881
Time-Eater,Dodge,Xelor,1077,60,16,200.0,78.95,8867
Saigneur-Heish,Terra Cogita,Sacrogrito,1117,43,18,200.0,70.49,8844
Blash-lapip,Oshimo,Xelor,1062,60,2,200.0,96.77,8836
Zaix,Dodge,Anutrof,1061,114,114,200.0,50.0,8813
Hakmarr,Oshimo,Yopuka,1072,64,45,200.0,58.72,8813
Pherses,Brutas,Sram,1097,38,26,200.0,59.38,8788
Arshield,Oshimo,Xelor,1119,46,25,200.0,64.79,8771
Makavel,Terra Cogita,Sacrogrito,1051,110,66,200.0,62.5,8744
Rasta-stache,Herdegrize,Pandawa,1020,119,88,200.0,57.49,8740
Juanjorada,Grandapan,Feca,1055,125,60,200.0,67.57,8735
Oxy-teh,Terra Cogita,Sacrogrito,1044,116,76,200.0,60.42,8714
Furung,Oshimo,Yopuka,1102,73,60,200.0,54.89,8691
Eros-Zz,Oshimo,Aniripsa,1068,116,63,200.0,64.8,8687
Zorrowapo,Brutas,Zobal,991,144,86,200.0,62.61,8677
Relentizacion,Brutas,Xelor,915,167,107,199.0,60.95,8675
Horigine,Terra Cogita,Zurcarak,967,76,0,200.0,100.0,8671
Margue-rite,Terra Cogita,Sacrogrito,1093,57,43,200.0,57.0,8656
Leyous,Terra Cogita,Aniripsa,944,88,2,200.0,97.78,8650
Moon-Black,Terra Cogita,Yopuka,989,146,112,200.0,56.59,8645
Weedaholic,Grandapan,Sram,970,123,52,200.0,70.29,8614
Akryxx,Grandapan,Sram,1117,54,55,200.0,49.54,8609
Gryphor,Terra Cogita,Yopuka,950,169,111,200.0,60.36,8600
Morkwon,Brutas,Zurcarak,937,205,159,200.0,56.32,8586
Deycrox,Grandapan,Sacrogrito,1139,54,54,200.0,50.0,8583
Sacri-boyy,Herdegrize,Sacrogrito,999,201,156,200.0,56.3,8582
Le-titiz,Herdegrize,Osamodas,1102,37,16,200.0,69.81,8581
Zyhuan,Terra Cogita,Yopuka,957,108,57,200.0,65.45,8567
Mmrosado,Brutas,Aniripsa,1076,88,34,200.0,72.13,8553
La-Bukanas,Brutas,Pandawa,963,164,107,200.0,60.52,8550
Rawsha,Oshimo,Aniripsa,1093,64,33,200.0,65.98,8512
Sletis-lebarbar,Oshimo,Sadida,1043,93,43,200.0,68.38,8446
Gweko-Vl,Terra Cogita,Anutrof,1077,48,23,200.0,67.61,8379
Sacrishok,Terra Cogita,Sacrogrito,1130,34,15,200.0,69.39,8378
The-Roque,Herdegrize,Pandawa,1090,88,55,200.0,61.54,8367
Boskimano,Brutas,Sadida,1083,100,62,200.0,61.73,8335
Spote,Brutas,Sacrogrito,979,159,104,200.0,60.46,8334
Manne-Kin,Herdegrize,Pandawa,1083,46,21,200.0,68.66,8333
Ibuds,Grandapan,Xelor,983,123,53,200.0,69.89,8325
Looner,Terra Cogita,Aniripsa,1127,39,7,200.0,84.78,8320
Anne-Esthesie,Oshimo,Aniripsa,1067,49,12,200.0,80.33,8315
Izoel,Brutas,Sram,887,164,108,200.0,60.29,8300
Dramee,Herdegrize,Zurcarak,1001,91,88,200.0,50.84,8256
Damm-beer,Brutas,Pandawa,987,131,66,200.0,66.5,8255
Niicolay,Brutas,Ocra,956,207,182,200.0,53.21,8227
Torus,Oshimo,Sram,991,207,181,200.0,53.35,8196
Baby-black,Oshimo,Pandawa,1027,145,116,200.0,55.56,8191
Evil-souls,Herdegrize,Yopuka,1023,76,56,200.0,57.58,8178
Punichers,Terra Cogita,Aniripsa,1149,39,22,200.0,63.93,8164
Oonoki-Tsu,Herdegrize,Xelor,1021,116,86,200.0,57.43,8152
Niviruz,Brutas,Aniripsa,944,152,94,200.0,61.79,8150
Mega-Pusy,Brutas,Sadida,1033,160,108,200.0,59.7,8108
Paua,Dodge,Sadida,1067,83,54,200.0,60.58,8105
Roub-pvp,Dodge,Tymador,993,92,32,200.0,74.19,8063
Klawijuiice,Terra Cogita,Sram,1074,79,54,200.0,59.4,8061
Bulmall,Brutas,Yopuka,915,187,142,200.0,56.84,8050
Overcast,Oshimo,Osamodas,1088,47,23,200.0,67.14,8046
Jdonnelesbasesd,Herdegrize,Tymador,1046,84,64,200.0,56.76,8010
Becomes,Brutas,Sacrogrito,990,114,60,200.0,65.52,7998
Doctorhouse,Brutas,Aniripsa,1118,50,20,200.0,71.43,7971
Asumant,Oshimo,Feca,1040,145,125,200.0,53.7,7958
Gryphus-Shicome,Grandapan,Sram,940,113,52,200.0,68.48,7953
Green-Gwap,Terra Cogita,Anutrof,1002,92,58,200.0,61.33,7953
Ratkum,Brutas,Tymador,1020,72,33,200.0,68.57,7947
Lunagoldenx,Brutas,Osamodas,960,145,89,200.0,61.97,7942
Dyd,Terra Cogita,Yopuka,1022,67,32,200.0,67.68,7936
Sensatiion,Brutas,Feca,960,124,62,200.0,66.67,7922
Zaela,Terra Cogita,Yopuka,903,103,32,200.0,76.3,7900
Metk,Dodge,Zobal,1027,109,68,200.0,61.58,7890
Kurushimi-Yakuz,Oshimo,Aniripsa,1121,70,41,200.0,63.06,7870
Ninoya,Herdegrize,Sacrogrito,1041,78,24,200.0,76.47,7825
Natali-sombra,Brutas,Sram,1075,76,47,200.0,61.79,7799
Sloow,Dodge,Tymador,1074,28,3,200.0,90.32,7767
Eri-ka,Oshimo,Xelor,1033,94,28,200.0,77.05,7750
Hard-ix,Terra Cogita,Pandawa,950,155,104,200.0,59.85,7748
Deoxia,Oshimo,Feca,1051,121,93,200.0,56.54,7736
Seplveda,Grandapan,Sram,922,150,97,200.0,60.73,7725
Ulricc,Brutas,Xelor,1075,47,21,200.0,69.12,7707
Bwin,Herdegrize,Sacrogrito,1077,52,29,200.0,64.2,7694
Mekyan,Terra Cogita,Sadida,1062,120,84,200.0,58.82,7668
Marika-dess,Herdegrize,Yopuka,1056,43,14,200.0,75.44,7662
Eas-tpak,Oshimo,Zobal,1024,84,28,200.0,75.0,7642
Curas-Damage,Brutas,Aniripsa,983,110,45,200.0,70.97,7625
Escudoman,Brutas,Feca,961,170,125,200.0,57.63,7625
Larompe-Palo,Brutas,Aniripsa,989,154,104,200.0,59.69,7600
Fox-Cobra,Brutas,Ocra,1019,74,63,200.0,54.01,7594
Murmont,Brutas,Sacrogrito,1059,52,13,200.0,80.0,7529
Sepu,Grandapan,Yopuka,937,142,89,200.0,61.47,7529
Zeuz,Grandapan,Feca,1135,55,55,200.0,50.0,7495
Zengetsuju,Oshimo,Yopuka,969,78,10,200.0,88.64,7489
Zeroxyz,Terra Cogita,Sacrogrito,1101,39,17,200.0,69.64,7486
Tobark,Brutas,Sacrogrito,1065,57,29,200.0,66.28,7483
Jx-monsal,Brutas,Sacrogrito,1006,133,88,200.0,60.18,7481
Spydok,Terra Cogita,Ocra,982,109,76,200.0,58.92,7478
Bamvill,Brutas,Xelor,958,162,119,200.0,57.65,7462
Drakane-roxx,Oshimo,Yopuka,1115,40,38,200.0,51.28,7441
Mano-Ozzy,Brutas,Yopuka,965,136,86,200.0,61.26,7437
Darklorrd,Dodge,Zurcarak,1038,83,39,200.0,68.03,7432
Ata-Wolf,Herdegrize,Ocra,844,99,33,200.0,75.0,7425
Biya,Herdegrize,Sadida,954,166,123,200.0,57.44,7387
Alemn,Brutas,Sacrogrito,1141,26,2,200.0,92.86,7384
Deida,Grandapan,Yopuka,927,129,74,200.0,63.55,7350
Yacosto,Oshimo,Xelor,969,81,10,200.0,89.01,7350
Sheiitan-Zw,Terra Cogita,Anutrof,1053,48,23,200.0,67.61,7323
Belphegorre,Oshimo,Pandawa,1081,32,0,200.0,100.0,7296
Zoldyck-killua,Oshimo,Aniripsa,1097,56,25,200.0,69.14,7277
Angela-gabriela,Brutas,Sram,945,114,55,200.0,67.46,7275
Ily-Zaelle,Oshimo,Tymador,1116,17,0,200.0,100.0,7264
Eosine-Rox,Oshimo,Yopuka,979,116,66,200.0,63.74,7251
Golden-Jeet,Oshimo,Xelor,1081,102,65,200.0,61.08,7242
Kahylla,Dodge,Xelor,1116,39,22,200.0,63.93,7227
Sra-Peeper,Brutas,Feca,963,127,73,200.0,63.5,7225
Nxquintero,Brutas,Aniripsa,968,145,97,200.0,59.92,7225
Demun,Brutas,Sram,858,96,32,199.0,75.0,7200
Bloorky,Herdegrize,Sacrogrito,1083,49,25,200.0,66.22,7187
Sangtifieur,Oshimo,Aniripsa,1152,32,15,200.0,68.09,7168
Cris-pp,Brutas,Anutrof,1010,116,70,200.0,62.37,7165
Iord,Oshimo,Xelor,1067,57,21,200.0,73.08,7155
Death-Roxer,Herdegrize,Xelor,1028,119,80,200.0,59.8,7128
Napoleron,Herdegrize,Osamodas,1036,81,59,200.0,57.86,7126
Curalo-To,Brutas,Aniripsa,1010,123,70,200.0,63.73,7110
