Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Ysoserious,Herdegrize,Yopuka,995,16,9,200.0,64.0,1114
Gunnhild-Ironsi,Brutas,Yopuka,965,24,18,200.0,57.14,1113
Makhan,Herdegrize,Zurcarak,1095,28,31,200.0,47.46,1113
Marlich,Terra Cogita,Sacrogrito,1019,10,1,200.0,90.91,1112
Le-rabin,Terra Cogita,Anutrof,1014,17,12,200.0,58.62,1111
Spook-one,Brutas,Ocra,895,41,41,200.0,50.0,1109
Rayiu,Terra Cogita,Ocra,903,21,16,200.0,56.76,1108
Drize-bt,Oshimo,Yopuka,965,58,65,200.0,47.15,1107
Saramhaeyo,Dodge,Sram,968,11,1,200.0,91.67,1106
La-pamparaa,Brutas,Anutrof,947,29,24,200.0,54.72,1104
Peump,Herdegrize,Ocra,920,29,24,200.0,54.72,1101
Deakz,Oshimo,Anutrof,1070,7,3,200.0,70.0,1101
Ryuka-ll,Brutas,Ocra,916,17,8,200.0,68.0,1101
Popcaan-Jam,Brutas,Sadida,944,68,76,200.0,47.22,1100
Enufab,Terra Cogita,Anutrof,871,47,48,200.0,49.47,1100
Snooddyy,Herdegrize,Sram,950,29,24,200.0,54.72,1100
Drize-jo,Oshimo,Sadida,976,23,16,200.0,58.97,1100
Madzilla,Brutas,Sacrogrito,946,32,28,200.0,53.33,1100
Ponguerre,Terra Cogita,Ocra,844,38,36,200.0,51.35,1100
Baloobar,Terra Cogita,Tymador,879,131,160,199.0,45.02,1100
Sarada-wl,Brutas,Aniripsa,957,14,4,200.0,77.78,1100
Elizabeth-Cures,Brutas,Aniripsa,980,17,8,200.0,68.0,1100
Curxs,Brutas,Aniripsa,945,14,4,200.0,77.78,1100
Afrodius,Brutas,Aniripsa,915,11,0,200.0,100.0,1100
Csard,Brutas,Yopuka,862,29,24,200.0,54.72,1100
Purgada,Brutas,Yopuka,924,26,20,200.0,56.52,1100
Nezuuko-chan,Brutas,Yopuka,883,14,4,200.0,77.78,1100
Mmedotcom,Herdegrize,Ocra,908,11,0,200.0,100.0,1100
Cannadwop,Herdegrize,Anutrof,919,50,52,200.0,49.02,1100
Hujeypk,Brutas,Yopuka,936,26,20,200.0,56.52,1100
Kurko,Terra Cogita,Zurcarak,932,17,8,200.0,68.0,1100
Restore,Dodge,Aniripsa,1030,15,6,200.0,71.43,1099
Cataract,Herdegrize,Zobal,1025,14,8,200.0,63.64,1098
Powderra,Herdegrize,Yopuka,996,35,38,200.0,47.95,1096
Esina,Oshimo,Sram,1009,10,7,200.0,58.82,1096
Harleyy-Quinn,Terra Cogita,Ocra,1080,6,6,200.0,50.0,1091
Linkforrgamiing,Oshimo,Steamer,968,68,79,200.0,46.26,1088
Baleenciaga,Herdegrize,Sram,946,28,24,200.0,53.85,1087
Stone-Kark,Dodge,Ocra,1128,7,9,200.0,43.75,1084
Alican-te,Herdegrize,Yopuka,949,97,115,200.0,45.75,1083
Eli-Tower,Oshimo,Steamer,1010,25,25,200.0,50.0,1080
La-Faucheusee,Oshimo,Sram,1025,27,29,200.0,48.21,1080
Oscarnivor,Herdegrize,Yopuka,1020,13,9,200.0,59.09,1080
Supernatural,Dodge,Sacrogrito,1066,9,4,200.0,69.23,1079
Snap,Brutas,Sram,978,19,12,200.0,61.29,1079
Lord-krratoss,Oshimo,Pandawa,1055,11,8,200.0,57.89,1077
Papy-Dent,Oshimo,Anutrof,989,18,11,200.0,62.07,1076
Panda-Web,Dodge,Pandawa,934,37,35,200.0,51.39,1075
Zatoishiwan,Brutas,Pandawa,855,19,11,200.0,63.33,1075
Gourmandize,Terra Cogita,Sram,871,28,23,200.0,54.9,1075
General-Izanagi,Brutas,Pandawa,908,52,55,200.0,48.6,1075
Nellzebuut,Oshimo,Ocra,851,55,59,200.0,48.25,1075
Valkyrih,Oshimo,Feca,1035,33,34,200.0,49.25,1075
Domestic,Grandapan,Feca,885,16,7,200.0,69.57,1075
Ridikc,Brutas,Ocra,860,52,55,199.0,48.6,1075
Sydney-Cole,Brutas,Sram,922,22,15,200.0,59.46,1075
Kinnae,Herdegrize,Ocra,908,13,3,200.0,81.25,1075
Ultra-Caliiente,Terra Cogita,Sadida,943,16,7,200.0,69.57,1075
Sixe,Brutas,Yopuka,880,34,31,200.0,52.31,1075
The-legendaria,Brutas,Yopuka,945,13,3,200.0,81.25,1075
Clatamarus,Brutas,Osamodas,857,22,15,200.0,59.46,1075
Yessig,Dodge,Yopuka,912,16,7,200.0,69.57,1075
Ikeron,Herdegrize,Aniripsa,959,19,11,200.0,63.33,1075
Woodyy-l,Terra Cogita,Yopuka,1062,8,6,200.0,57.14,1074
Yaya-digi,Terra Cogita,Yopuka,954,47,51,200.0,47.96,1071
Zabuzhe,Herdegrize,Yopuka,1028,10,6,200.0,62.5,1070
Blonzatic,Grandapan,Sacrogrito,1072,7,3,200.0,70.0,1070
Foxkiller,Brutas,Ocra,926,18,10,200.0,64.29,1069
Hoodwolf,Oshimo,Pandawa,1002,32,32,200.0,50.0,1067
Damn-hunter,Brutas,Feca,1008,22,19,200.0,53.66,1066
Hardex,Herdegrize,Ocra,939,47,49,200.0,48.96,1066
Wedd-house,Brutas,Pandawa,1003,18,12,200.0,60.0,1066
Solituda,Oshimo,Sram,1007,23,24,200.0,48.94,1065
Zippystixi,Terra Cogita,Osamodas,1080,9,10,200.0,47.37,1065
